TABLE DR5. C & O ISOTOPIC DATA FOR THE LOMFJORDEN AND LOWER HINLOPENSTRETET SUPERGROUP CARBONATES,,,,,,,,,,,,,
Sample Name,Section,Section Height (m),Group,Formation,Member,Composite Height (m),Sample Age (Ma),UID,Session,𝞭13CVPDB,𝞭13CVPDB standard error,𝞭18OVPDB,𝞭18OVPDB startdard error
G4-192,G4,192,Veteranen,Oxfordbreen,Fulmarberget,4246,842.7185185,16436,20220207,5.71,0.0054,-8.04,0.0101
G4-195.2,G4,195.2,Veteranen,Oxfordbreen,Fulmarberget,4249.2,842.6646465,16437,20220207,2.87,0.0042,-7.72,0.0048
G4-197,G4,197,Veteranen,Oxfordbreen,Fulmarberget,4251,842.6343434,16438,20220207,3.26,0.0015,-7.35,0.006
G4-199,G4,199,Veteranen,Oxfordbreen,Fulmarberget,4253,842.6006734,16439,20220207,3.67,0.0036,-7.4,0.0075
G4-201.2,G4,201.2,Veteranen,Oxfordbreen,Fulmarberget,4255.2,842.5636364,16440,20220207,3.47,0.0026,-7.73,0.0048
G4-203,G4,203,Veteranen,Oxfordbreen,Fulmarberget,4257,842.5333333,16441,20220207,3.1,0.0051,-8.03,0.008
G4-205.5,G4,205.5,Veteranen,Oxfordbreen,Fulmarberget,4259.5,842.4912458,16444,20220207,2.94,0.0046,-7.92,0.0098
G4-207.5,G4,207.5,Veteranen,Oxfordbreen,Fulmarberget,4261.5,842.4575758,16445,20220207,3.21,0.0022,-7.61,0.0056
G4-209,G4,209,Veteranen,Oxfordbreen,Fulmarberget,4263,842.4323232,16446,20220207,2.96,0.0051,-6.81,0.006
G4-210.5,G4,210.5,Veteranen,Oxfordbreen,Fulmarberget,4264.5,842.4070707,16447,20220207,3.21,0.0039,-7.26,0.0066
G4-213.5,G4,213.5,Veteranen,Oxfordbreen,Fulmarberget,4267.5,842.3565657,16448,20220207,2.49,0.004,-7.21,0.005
G4-216.1,G4,216.1,Veteranen,Oxfordbreen,Fulmarberget,4270.1,842.3127946,16449,20220207,2.44,0.0049,-7.66,0.0082
G4-218.6,G4,218.6,Veteranen,Oxfordbreen,Fulmarberget,4272.6,842.2707071,16450,20220207,2.89,0.003,-7.32,0.009
G4-223.5,G4,223.5,Veteranen,Oxfordbreen,Fulmarberget,4277.5,842.1882155,16451,20220207,2.86,0.0032,-7.48,0.0058
G4-225.5,G4,225.5,Veteranen,Oxfordbreen,Fulmarberget,4279.5,842.1545455,16452,20220207,2.3,0.0034,-7.48,0.0085
G4-227.4,G4,227.4,Veteranen,Oxfordbreen,Fulmarberget,4281.4,842.1225589,16457,20220208,2.2,0.0055,-7.97,0.0071
G4-229.5,G4,229.5,Veteranen,Oxfordbreen,Fulmarberget,4283.5,842.0872054,16458,20220208,1.83,0.0076,-7.29,0.0075
G4-231.9,G4,231.9,Veteranen,Oxfordbreen,Fulmarberget,4285.9,842.0468013,16459,20220208,1.52,0.01,-5.36,0.0072
G4-234.6,G4,234.6,Veteranen,Oxfordbreen,Fulmarberget,4288.6,842.0013468,16460,20220208,4.21,0.0056,-7.03,0.0126
G4-237.5,G4,237.5,Veteranen,Oxfordbreen,Fulmarberget,4291.5,841.9525253,16461,20220208,1.95,0.004,-7.67,0.0101
G4-239,G4,239,Veteranen,Oxfordbreen,Fulmarberget,4293,841.9272727,16462,20220208,5.04,0.0054,-7.52,0.0079
G4-243.2,G4,243.2,Veteranen,Oxfordbreen,Fulmarberget,4297.2,841.8565657,16463,20220208,1.31,0.0077,-6.44,0.0121
G4-245,G4,245,Veteranen,Oxfordbreen,Fulmarberget,4299,841.8262626,16464,20220208,1.25,0.0055,-7.79,0.0079
G4-247,G4,247,Veteranen,Oxfordbreen,Fulmarberget,4301,841.7925926,16465,20220208,3.07,0.0054,-8.35,0.0045
G4-249,G4,249,Veteranen,Oxfordbreen,Fulmarberget,4303,841.7589226,16468,20220208,2.29,0.0051,-6.06,0.0135
G4-251.2,G4,251.2,Veteranen,Oxfordbreen,Fulmarberget,4305.2,841.7218855,16469,20220208,3.35,0.0045,-6.47,0.0044
G4-253.1,G4,253.1,Veteranen,Oxfordbreen,Fulmarberget,4307.1,841.689899,16471,20220208,3.87,0.0039,-6.74,0.0069
G4-255,G4,255,Veteranen,Oxfordbreen,Fulmarberget,4309,841.6579125,16472,20220208,2.54,0.0035,-7.58,0.0076
G4-257,G4,257,Veteranen,Oxfordbreen,Fulmarberget,4311,841.6242424,16473,20220208,3.6,0.0181,-7.88,0.0313
G4-261,G4,261,Veteranen,Oxfordbreen,Fulmarberget,4315,841.5569024,16474,20220208,3.02,0.0039,-7.86,0.0051
G4-263,G4,263,Veteranen,Oxfordbreen,Fulmarberget,4317,841.5232323,16475,20220208,2.58,0.0091,-5.6,0.0175
G4-265,G4,265,Veteranen,Oxfordbreen,Fulmarberget,4319,841.4895623,16476,20220208,2.93,0.0028,-7.66,0.006
G4-268,G4,268,Veteranen,Oxfordbreen,Fulmarberget,4322,841.4390572,16481,20220209,3.14,0.003,-7.15,0.0089
G4-270,G4,270,Veteranen,Oxfordbreen,Fulmarberget,4324,841.4053872,16482,20220209,2.87,0.0059,-7.94,0.0086
G4-272.1,G4,272.1,Veteranen,Oxfordbreen,Fulmarberget,4326.1,841.3700337,16483,20220209,3.73,0.0054,-6.82,0.0102
G4-275.1,G4,275.1,Veteranen,Oxfordbreen,Fulmarberget,4329.1,841.3195286,16484,20220209,3.14,0.0077,-7.17,0.0056
G4-277.2,G4,277.2,Veteranen,Oxfordbreen,Fulmarberget,4331.2,841.2841751,16485,20220209,2.95,0.0053,-7.8,0.0074
G4-279.5,G4,279.5,Veteranen,Oxfordbreen,Fulmarberget,4333.5,841.2454545,16486,20220209,3.6,0.0059,-7.58,0.0103
G4-280.5,G4,280.5,Veteranen,Oxfordbreen,Fulmarberget,4334.5,841.2286195,16487,20220209,3.09,0.0053,-7.36,0.0105
G4-281,G4,281,Veteranen,Oxfordbreen,Fulmarberget,4335,841.220202,16488,20220209,4.05,0.0047,-7.54,0.003
G4-282.6,G4,282.6,Veteranen,Oxfordbreen,Fulmarberget,4336.6,841.193266,16489,20220209,3.69,0.006,-7.81,0.0093
G4-284.5,G4,284.5,Veteranen,Oxfordbreen,Fulmarberget,4338.5,841.1612795,16492,20220209,3.14,0.0032,-7.67,0.0076
G4-286.5,G4,286.5,Veteranen,Oxfordbreen,Fulmarberget,4340.5,841.1276094,16493,20220209,3.12,0.0022,-7.75,0.006
G4-288.6,G4,288.6,Veteranen,Oxfordbreen,Fulmarberget,4342.6,841.0922559,16494,20220209,2.77,0.0045,-8.85,0.0097
G4-290.6,G4,290.6,Veteranen,Oxfordbreen,Fulmarberget,4344.6,841.0585859,16495,20220209,3.15,0.0028,-6.77,0.0046
G4-292.8,G4,292.8,Veteranen,Oxfordbreen,Fulmarberget,4346.8,841.0215488,16496,20220209,3.24,0.0031,-6.86,0.0133
G4-294.5,G4,294.5,Veteranen,Oxfordbreen,Fulmarberget,4348.5,840.9929293,16497,20220209,3.4,0.0039,-7.36,0.0055
G4-296.5,G4,296.5,Veteranen,Oxfordbreen,Fulmarberget,4350.5,840.9592593,16498,20220209,3.46,0.0027,-7.39,0.0048
G4-298.5,G4,298.5,Veteranen,Oxfordbreen,Fulmarberget,4352.5,840.9255892,16499,20220209,2.89,0.0054,-7.59,0.0098
G4-301,G4,301,Veteranen,Oxfordbreen,Fulmarberget,4355,840.8835017,16500,20220209,4.06,0.0041,-6.57,0.0055
G4-303,G4,303,Veteranen,Oxfordbreen,Fulmarberget,4357,840.8498316,16505,20220210,2.83,0.0043,-7.31,0.0078
G4-307.5,G4,307.5,Veteranen,Oxfordbreen,Fulmarberget,4361.5,840.7740741,16506,20220210,2.99,0.0023,-7.31,0.0063
G4-308.8,G4,308.8,Veteranen,Oxfordbreen,Fulmarberget,4362.8,840.7521886,16507,20220210,3.92,0.0035,-7.75,0.0051
G4-312.3,G4,312.3,Veteranen,Oxfordbreen,Fulmarberget,4366.3,840.693266,16508,20220210,2.65,0.0035,-6.19,0.0054
G4-314,G4,314,Veteranen,Oxfordbreen,Fulmarberget,4368,840.6646465,16509,20220210,3.03,0.0046,-7.33,0.0076
G4-316.2,G4,316.2,Veteranen,Oxfordbreen,Fulmarberget,4370.2,840.6276094,16510,20220210,3.23,0.0068,-6.65,0.0042
