UID,Session,Sample,d45,d46,d47,d48,d49
7236,20180908,PD5-78-F16,-0.758267,20.060384,422.936262,156.860048,48816.715949
7233,20180908,PD5-78-A01,-0.879377,20.835600,71.643679,80.163459,7647.275923
7239,20180908,ETH-1,5.181880,12.276126,40.276601,43.167936,4124.415751
7244,20180908,PD5-78-A39,0.221922,26.081297,65.842963,90.945093,6615.795849
7261,20180908,PD5-78-H,-0.295866,23.355499,60.318737,80.448796,7476.294421
7260,20180908,PD5-78-G30,-0.869516,20.177124,46.571679,69.835522,4725.596173
7237,20180908,PD5-78-A38,0.295651,26.666923,81.926447,87.800968,7639.638397
7249,20180908,PD5-78-E14,-0.773090,20.353083,56.889258,73.580446,5219.235343
7250,20180908,PD5-78-F17,-0.899340,19.000590,68.145903,79.745312,7280.303120
7263,20180908,PD5-78-F18,-0.852241,17.099402,68.803784,84.564953,7568.893308
7243,20180908,PD5-78-F14,-0.779476,20.807580,68.425403,79.493357,6990.728041
7248,20180908,PD5-91-E,2.936652,12.752064,43.257450,44.106339,4508.244321
7252,20180908,PD5-78-Z38,0.116166,25.156974,57.215560,88.226029,5324.612396
7241,20180908,PD5-78-G,0.199159,27.221504,75.488292,82.520630,7398.320730
7254,20180908,ETH-2,-6.784970,-4.494455,6.859976,8.101927,3525.383823
16514,20220210,G4-320,5.617849,5.959692,20.162404,40.510801,10284.425807
16517,20220210,BH-264_13_MIN,-6.067160,-8.879819,145.744159,491.404238,444764.383790
16520,20220210,BH-264_240_MIN,-1.991617,0.410255,262.607377,979.141076,180055.698456
16521,20220210,ETH-2,-7.088682,-5.284183,7.354289,23.272788,15112.171062
16508,20220210,G4-312_3,5.287529,7.096133,27.952098,92.258103,16448.304962
16507,20220210,G4-308_8,6.416093,5.534818,23.340109,57.219894,22137.123062
16506,20220210,G4-307_5,5.564426,5.979568,24.177653,56.301661,14135.743820
16515,20220210,ETH-3,4.519154,11.804037,25.492067,47.683829,9537.388857
16511,20220210,G4-316_5,5.370008,5.574246,32.196093,72.818730,16435.285935
16513,20220210,G4-318_5,6.258360,6.235191,22.120599,41.709646,9725.614701
16509,20220210,G4-314,5.601333,5.954479,25.376561,89.347298,26519.744031
16510,20220210,G4-316_2,5.811591,6.635462,36.744293,63.894160,16786.458849
16516,20220210,ETH-2,-7.114283,-5.352023,-4.875540,4.024854,7379.894732
16504,20220210,ETH-3,4.510213,11.884410,35.558417,81.369289,14575.455811
16518,20220210,BH-264_60_MIN,-2.807452,-1.568984,266.690523,375.061093,146645.044568
16505,20220210,G4-303,5.412037,5.977566,34.420020,90.276891,40443.438511
16503,20220210,ETH-2,-7.055693,-5.302120,35.429979,27.318424,14869.672714
16522,20220210,ETH-3,4.449862,11.654678,32.893491,52.338037,7382.775092
16519,20220210,BH-264_135_MIN,-2.121940,0.062476,275.305295,687.361911,193665.707455
16512,20220210,G4-317_5,5.566984,5.799080,26.066973,84.304231,24047.169596
16318,20220201,ETH-3,4.491350,11.753253,33.239406,82.682317,27060.526406
16313,20220201,G3-232_9,8.860920,13.174466,41.328765,191.387725,77990.012175
16326,20220201,G3-248_3,9.184500,11.310716,44.269362,76.152485,19747.144819
16320,20220201,G3-236_2,8.873009,11.153838,40.602464,54.585741,12932.737336
16307,20220201,ETH-2,-7.059281,-5.233001,9.618338,36.142903,13795.923969
16322,20220201,G3-240_4,8.220617,12.191029,41.391283,81.994292,24530.118492
16327,20220201,G3-256,8.229070,10.623170,45.581349,203.399803,52933.545697
16310,20220201,G3-230_6,8.173044,11.512351,45.011912,85.645927,20547.478373
16315,20220201,G3-234,8.927892,12.051985,43.121665,70.212298,13800.047057
16312,20220201,G3-231_5B,8.437347,12.279949,50.718542,74.139240,14305.645667
16319,20220201,ETH-2,-7.071084,-5.252208,5.098705,35.890245,17187.878548
16325,20220201,G3-245_7,8.205906,8.098354,46.940714,86.378336,24381.599850
16332,20220201,G4-4_2,3.026233,-2.726556,163.856613,321.456423,107588.104441
16331,20220201,G4-2_8,6.276931,7.104617,54.759329,153.236446,44772.071795
16335,20220201,ETH-3,4.364527,11.498892,27.362746,45.234690,9044.091800
16309,20220201,G3-230_4,8.123715,12.110630,40.391510,104.730739,30873.263821
16336,20220201,ETH-2,-7.097357,-5.236793,4.196272,27.009410,12477.664129
16329,20220201,ETH-2,-7.096916,-5.269785,2.086514,22.635478,11717.048780
16308,20220201,ETH-3,4.492207,11.795027,31.744969,72.987302,15825.143138
16317,20220201,G3-235_9,9.443763,12.366495,53.961387,97.675056,23870.247154
16314,20220201,G3-233_7,8.598027,12.751938,38.718311,124.052398,31680.395588
16323,20220201,G3-241,9.499347,11.844587,43.621221,82.634523,10936.377748
16330,20220201,ETH-3,4.511258,11.830257,29.089922,63.788685,13378.656282
16321,20220201,G3-237,8.847997,11.780263,41.606147,79.245384,23098.857999
16316,20220201,G3-234_9,9.129876,11.276383,44.407286,75.343781,21788.744795
16334,20220201,G4-12,5.112431,5.579447,78.363769,335.363732,64539.833312
16333,20220201,G4-10_3,6.439167,8.045869,64.094731,155.759534,39175.898693
16328,20220201,G3-256_4,8.108494,9.651976,45.237519,93.067746,25026.440412
16324,20220201,G3-244,8.777002,9.997341,34.852835,71.650097,10268.407471
16311,20220201,G3-230_9,8.178180,11.392590,34.960363,66.852879,14451.051700
22087,20240218,LB-104,9.449126,7.871352,118.828124,904.118444,41257.447233
22078,20240218,LB-90,10.234456,9.730088,63.278474,154.462250,18682.443803
22113,20240218,ETH-3,4.212340,11.516765,34.764651,68.882949,8464.718159
22098,20240218,LB-122,10.202536,7.940873,38.921108,111.960708,15633.070381
22093,20240218,LB-116,10.101274,8.043186,66.117577,208.053255,23210.680240
22089,20240218,LB-108,9.841797,7.801348,62.848122,214.311540,25589.647600
22074,20240218,ETH-3,4.117359,11.191782,60.814386,129.639833,16092.852918
22077,20240218,LB-89.5,9.346852,7.004506,54.123257,142.529902,15679.657474
22085,20240218,ETH-3,4.305252,11.351333,79.929982,236.930640,26237.062862
22072,20240218,ETH-2,-7.390224,-5.918502,16.899974,54.077147,10125.499445
22076,20240218,LB-88,10.030843,7.654535,55.952826,149.260117,15127.115449
22088,20240218,LB-106,9.552394,7.848897,53.701483,184.447895,19623.157754
22075,20240218,ETH-2,-7.410481,-5.854310,22.686958,90.811473,13936.536523
22112,20240218,ETH-2,-7.497923,-5.685704,1.367240,81.288209,15585.007640
22097,20240218,LB-120,10.177612,7.276157,55.005672,141.851004,18326.861580
22079,20240218,LB-92,9.710054,7.438476,56.198017,148.493668,13131.685755
22111,20240218,LB-142,9.689599,8.440186,48.116003,126.020624,14599.562886
22084,20240218,ETH-2,-7.415302,-5.835243,7.515007,59.885019,11267.071700
22073,20240218,ETH-3,4.211477,11.082573,62.386979,156.508491,19123.669391
22102,20240218,LB-132,9.613881,5.243586,54.706447,121.123423,14351.370704
22107,20240218,LB-136,8.951155,7.092959,63.995813,193.888710,22512.786645
22091,20240218,LB-112,9.891830,8.080458,44.183668,163.299891,20387.318285
22086,20240218,LB-102,10.298927,7.958342,48.140142,334.274177,19518.146993
22105,20240218,ETH-3,4.278243,11.394589,59.308538,154.887318,19446.258887
22099,20240218,LB-124,10.211653,7.736872,50.042242,110.094892,14935.555509
22080,20240218,LB-94,9.585344,8.494711,49.142088,176.829725,14530.595757
22101,20240218,LB-130,10.090725,7.454519,45.057142,123.185996,15666.503539
22071,20240218,LB-87,9.535580,7.959333,58.163547,207.768103,22933.285428
22064,20240218,ETH-2,-7.451035,-5.933757,5.601988,31.372906,8029.429212
22083,20240218,LB-100,10.301396,8.054028,63.093850,198.150618,21525.938135
22095,20240218,ETH-3,4.105041,11.185183,37.877527,99.517651,12413.095892
22092,20240218,LB-114,10.539972,7.487850,65.922969,236.335363,28528.143227
22068,20240218,LB-78,10.023516,7.595863,62.415270,187.103342,18439.652367
22066,20240218,LB-72,9.061211,9.118710,38.825822,134.179089,13670.923884
22067,20240218,LB-76,9.420716,8.491026,54.623974,221.511917,16361.059520
22100,20240218,LB-128,10.074440,8.278278,51.727508,179.760091,21277.293583
22090,20240218,LB-110,9.996551,8.820003,99.598174,353.651555,32500.083280
22104,20240218,ETH-2,-7.367919,-5.769000,10.574053,67.645972,12290.230143
22081,20240218,LB-96,10.247851,7.974460,64.713938,186.689773,15115.370327
22109,20240218,LB-140,9.872370,5.355389,50.893996,139.421233,16164.448849
22106,20240218,LB-135,9.478288,5.558094,59.375685,208.819693,25928.790538
22096,20240218,LB-119,10.130220,7.831890,57.764044,135.545118,16859.094426
22069,20240218,LB-80,10.001239,7.215985,60.985322,167.947371,15389.516012
22108,20240218,LB-138,10.148707,9.079390,47.433410,140.027540,17238.046061
22103,20240218,LB-134,9.207464,5.812553,43.666645,184.701417,12585.368377
22110,20240218,LB-141,10.064973,7.785601,51.197024,160.326503,16533.492630
22082,20240218,LB-98,9.999244,7.806869,52.580701,291.243676,12663.534682
22065,20240218,ETH-3,3.958151,10.949107,36.058518,68.575096,8979.169049
